Original,Furigana,Level
ああ,ああ,N4
間,あいだ,N4
合う,あう,N4
赤ちゃん,あかちゃん,N4
上がる,あがる,N4
赤ん坊,あかんぼう,N4
アクセサリー,アクセサリー,N4
浅い,あさい,N4
味,あじ,N4
アジア,アジア,N4
遊び,あそび,N4
あっ,あっ,N4
集まる,あつまる,N4
集める,あつめる,N4
アナウンサー,アナウンサー,N4
阿弗利加,アフリカ,N4
亜米利加,アメリカ,N4
謝る,あやまる,N4
アルコール,アルコール,N4
アルバイト,アルバイト,N4
安心,あんしん,N4
安全,あんぜん,N4
あんな,あんな,N4
以下,いか,N4
以外,いがい,N4
医学,いがく,N4
生きる,いきる,N4
意見,いけん,N4
石,いし,N4
苛める,いじめる,N4
以上,いじょう,N4
急ぐ,いそぐ,N4
致す,いたす,N4
一度,いちど,N4
一生懸命,いっしょうけんめい,N4
一杯,いっぱい,N4
糸,いと,N4
以内,いない,N4
田舎,いなか,N4
祈る,いのる,N4
いらっしゃる,いらっしゃる,N4
植える,うえる,N4
受付,うけつけ,N4
受ける,うける,N4
動く,うごく,N4
内,うち,N4
打つ,うつ,N4
美しい,うつくしい,N4
写す,うつす,N4
移る,うつる,N4
腕,うで,N4
裏,うら,N4
売り場,うりば,N4
うん,うん,N4
運転手,うんてんしゅ,N4
エスカレーター,エスカレーター,N4
枝,えだ,N4
選ぶ,えらぶ,N4
遠慮,えんりょ,N4
オートバイ,オートバイ,N4
お出でになる,おいでになる,N4
お祝い,おいわい,N4
お蔭,おかげ,N4
可笑しい,おかしい,N4
億,おく,N4
屋上,おくじょう,N4
送る,おくる,N4
遅れる,おくれる,N4
起こす,おこす,N4
行う,おこなう,N4
怒る,おこる,N4
押し入れ,おしいれ,N4
お嬢さん,おじょうさん,N4
お宅,おたく,N4
落ちる,おちる,N4
仰る,おっしゃる,N4
夫,おっと,N4
お釣り,おつり,N4
音,おと,N4
落とす,おとす,N4
踊り,おどり,N4
踊る,おどる,N4
驚く,おどろく,N4
お祭り,おまつり,N4
お見舞い,おみまい,N4
お土産,おみやげ,N4
思い出す,おもいだす,N4
思う,おもう,N4
玩具,おもちゃ,N4
表,おもて,N4
親,おや,N4
泳ぎ方,およぎかた,N4
折る,おる,N4
お礼,おれい,N4
折れる,おれる,N4
終わり,おわり,N4
カーテン,カーテン,N4
海岸,かいがん,N4
会議,かいぎ,N4
会議室,かいぎしつ,N4
会場,かいじょう,N4
会話,かいわ,N4
帰り,かえり,N4
変える,かえる,N4
科学,かがく,N4
鏡,かがみ,N4
飾る,かざる,N4
火事,かじ,N4
瓦斯,ガス,N4
ガソリン,ガソリン,N4
ガソリンスタンド,ガソリンスタンド,N4
硬い,かたい,N4
形,かたち,N4
片付ける,かたづける,N4
課長,かちょう,N4
勝つ,かつ,N4
家内,かない,N4
悲しい,かなしい,N4
必ず,かならず,N4
彼女,かのじょ,N4
壁,かべ,N4
髪,かみ,N4
噛む,かむ,N4
通う,かよう,N4
硝子,ガラス,N4
彼,かれ,N4
乾く,かわく,N4
代わり,かわり,N4
変わる,かわる,N4
考える,かんがえる,N4
関係,かんけい,N4
看護師,かんごし,N4
簡単,かんたん,N4
気,き,N4
機会,きかい,N4
危険,きけん,N4
聞こえる,きこえる,N4
汽車,きしゃ,N4
技術,ぎじゅつ,N4
季節,きせつ,N4
規則,きそく,N4
屹度,きっと,N4
絹,きぬ,N4
厳しい,きびしい,N4
気分,きぶん,N4
決まる,きまる,N4
君,きみ,N4
決める,きめる,N4
気持ち,きもち,N4
着物,きもの,N4
客,きゃく,N4
急,きゅう,N4
急行,きゅうこう,N4
教育,きょういく,N4
教会,きょうかい,N4
競争,きょうそう,N4
興味,きょうみ,N4
近所,きんじょ,N4
具合,ぐあい,N4
空気,くうき,N4
空港,くうこう,N4
草,くさ,N4
首,くび,N4
雲,くも,N4
比べる,くらべる,N4
呉れる,くれる,N4
暮れる,くれる,N4
君,くん,N4
毛,け,N4
ケーキ,ケーキ,N4
経済,けいざい,N4
警察,けいさつ,N4
景色,けしき,N4
消しゴム,けしゴム,N4
下宿,げしゅく,N4
決して,けっして,N4
けど,けど,N4
原因,げんいん,N4
喧嘩,けんか,N4
研究,けんきゅう,N4
研究室,けんきゅうしつ,N4
見物,けんぶつ,N4
子,こ,N4
斯う,こう,N4
郊外,こうがい,N4
講義,こうぎ,N4
工業,こうぎょう,N4
高校,こうこう,N4
高校生,こうこうせい,N4
工場,こうじょう,N4
校長,こうちょう,N4
交通,こうつう,N4
講堂,こうどう,N4
高等学校,こうとうがっこう,N4
公務員,こうむいん,N4
国際,こくさい,N4
心,こころ,N4
ご主人,ごしゅじん,N4
故障,こしょう,N4
ご存じ,ごぞんじ,N4
答え,こたえ,N4
ご馳走,ごちそう,N4
小鳥,ことり,N4
この間,このあいだ,N4
この頃,このごろ,N4
細かい,こまかい,N4
込む,こむ,N4
米,こめ,N4
ご覧になる,ごらんになる,N4
此れから,これから,N4
怖い,こわい,N4
壊す,こわす,N4
壊れる,こわれる,N4
コンサート,コンサート,N4
今度,こんど,N4
コンピュータ,コンピュータ,N4
今夜,こんや,N4
最近,さいきん,N4
最後,さいご,N4
最初,さいしょ,N4
坂,さか,N4
探す,さがす,N4
下がる,さがる,N4
盛ん,さかん,N4
下げる,さげる,N4
差し上げる,さしあげる,N4
さっき,さっき,N4
寂しい,さびしい,N4
再来月,さらいげつ,N4
再来週,さらいしゅう,N4
サラダ,サラダ,N4
騒ぐ,さわぐ,N4
触る,さわる,N4
産業,さんぎょう,N4
サンダル,サンダル,N4
サンドイッチ,サンドイッチ,N4
残念,ざんねん,N4
市,し,N4
字,じ,N4
試合,しあい,N4
仕方,しかた,N4
試験,しけん,N4
事故,じこ,N4
地震,じしん,N4
時代,じだい,N4
下着,したぎ,N4
確り,しっかり,N4
失敗,しっぱい,N4
辞典,じてん,N4
品物,しなもの,N4
暫く,しばらく,N4
島,しま,N4
市民,しみん,N4
事務所,じむしょ,N4
社会,しゃかい,N4
社長,しゃちょう,N4
ジャム,ジャム,N4
自由,じゆう,N4
習慣,しゅうかん,N4
住所,じゅうしょ,N4
柔道,じゅうどう,N4
十分,じゅうぶん,N4
趣味,しゅみ,N4
紹介,しょうかい,N4
小学校,しょうがっこう,N4
小説,しょうせつ,N4
将来,しょうらい,N4
食料品,しょくりょうひん,N4
女性,じょせい,N4
知らせる,しらせる,N4
調べる,しらべる,N4
人口,じんこう,N4
神社,じんじゃ,N4
親切,しんせつ,N4
新聞社,しんぶんしゃ,N4
スーツ,スーツ,N4
スーツケース,スーツケース,N4
水泳,すいえい,N4
水道,すいどう,N4
数学,すうがく,N4
過ぎる,すぎる,N4
スクリーン,スクリーン,N4
凄い,すごい,N4
進む,すすむ,N4
すっかり,すっかり,N4
すっと,すっと,N4
ステーキ,ステーキ,N4
捨てる,すてる,N4
ステレオ,ステレオ,N4
砂,すな,N4
滑る,すべる,N4
隅,すみ,N4
済む,すむ,N4
掏摸,すり,N4
すると,すると,N4
生活,せいかつ,N4
生産,せいさん,N4
政治,せいじ,N4
西洋,せいよう,N4
世界,せかい,N4
席,せき,N4
説明,せつめい,N4
背中,せなか,N4
線,せん,N4
戦争,せんそう,N4
先輩,せんぱい,N4
そう,そう,N4
育てる,そだてる,N4
卒業,そつぎょう,N4
祖父,そふ,N4
ソフト,ソフト,N4
祖母,そぼ,N4
其れで,それで,N4
其れに,それに,N4
それ程,それほど,N4
そろそろ,そろそろ,N4
そんな,そんな,N4
そんなに,そんなに,N4
退院,たいいん,N4
大学生,だいがくせい,N4
大事,だいじ,N4
大体,だいたい,N4
大抵,たいてい,N4
タイプ,タイプ,N4
大分,だいぶ,N4
台風,たいふう,N4
倒れる,たおれる,N4
だから,だから,N4
確か,たしか,N4
足す,たす,N4
尋ねる,たずねる,N4
訪ねる,たずねる,N4
正しい,ただしい,N4
畳,たたみ,N4
建てる,たてる,N4
立てる,たてる,N4
例えば,たとえば,N4
棚,たな,N4
楽しみ,たのしみ,N4
楽しむ,たのしむ,N4
偶に,たまに,N4
為,ため,N4
足りる,たりる,N4
男性,だんせい,N4
暖房,だんぼう,N4
