Original,Furigana,Level
相変わらず,あいかわらず,N2
アイデア,アイデア,N2
曖昧,あいまい,N2
扇ぐ,あおぐ,N2
扇ぐ,あおぐ,N2
青白い,あおじろい,N2
呆れる,あきれる,N2
アクセント,アクセント,N2
欠伸,あくび,N2
飽くまで,あくまで,N2
明け方,あけがた,N2
憧れる,あこがれる,N2
足跡,あしあと,N2
味わう,あじわう,N2
預かる,あずかる,N2
温める,あたためる,N2
当たり前,あたりまえ,N2
厚かましい,あつかましい,N2
圧縮,あっしゅく,N2
宛名,あてな,N2
当てはまる,あてはまる,N2
当てはめる,あてはめる,N2
暴れる,あばれる,N2
暴れる,あばれる,N2
脂,あぶら,N2
炙る,あぶる,N2
溢れる,あふれる,N2
雨戸,あまど,N2
甘やかす,あまやかす,N2
余る,あまる,N2
編み物,あみもの,N2
編む,あむ,N2
危うい,あやうい,N2
怪しい,あやしい,N2
荒い,あらい,N2
粗筋,あらすじ,N2
争う,あらそう,N2
争う,あらそう,N2
改めて,あらためて,N2
改める,あらためる,N2
著す,あらわす,N2
有難い,ありがたい,N2
彼此,あれこれ,N2
慌ただしい,あわただしい,N2
慌てる,あわてる,N2
安易,あんい,N2
案外,あんがい,N2
アンテナ,アンテナ,N2
言い出す,いいだす,N2
言いつける,いいつける,N2
生き生き,いきいき,N2
行き成り,いきなり,N2
育児,いくじ,N2
育児,いくじ,N2
幾分,いくぶん,N2
生け花,いけばな,N2
以後,いご,N2
イコール,イコール,N2
以降,いこう,N2
衣食住,いしょくじゅう,N2
意地悪,いじわる,N2
一々,いちいち,N2
一応,いちおう,N2
一段,いちだん,N2
一流,いちりゅう,N2
佚,いつ,N2
一昨昨日,いっさくさくじつ,N2
一斉,いっせい,N2
一旦,いったん,N2
一定,いってい,N2
行ってまいります,いってまいります,N2
行ってらっしゃい,いってらっしゃい,N2
行ってらっしゃい,いってらっしゃい,N2
いつの間にか,いつのまにか,N2
いつの間にか,いつのまにか,N2
移転,いてん,N2
井戸,いど,N2
緯度,いど,N2
従姉妹,いとこ,N2
威張る,いばる,N2
嫌がる,いやがる,N2
愈,いよいよ,N2
煎る,いる,N2
入れ物,いれもの,N2
インタビュー,インタビュー,N2
引力,いんりょく,N2
ウーマン,ウーマン,N2
ウール,ウール,N2
ウェイトレス,ウェイトレス,N2
植木,うえき,N2
植木,うえき,N2
飢える,うえる,N2
浮かぶ,うかぶ,N2
浮かべる,うかべる,N2
浮く,うく,N2
承る,うけたまわる,N2
受取り,うけとり,N2
受取り,うけとり,N2
受け持つ,うけもつ,N2
薄暗い,うすぐらい,N2
薄める,うすめる,N2
打ち合わせ,うちあわせ,N2
打ち消す,うちけす,N2
うっかり,うっかり,N2
映す,うつす,N2
写る,うつる,N2
映る,うつる,N2
饂飩,うどん,N2
饂飩,うどん,N2
埋める,うめる,N2
敬う,うやまう,N2
裏返す,うらがえす,N2
裏口,うらぐち,N2
裏口,うらぐち,N2
占う,うらなう,N2
恨み,うらみ,N2
羨ましい,うらやましい,N2
羨む,うらやむ,N2
売り上げ,うりあげ,N2
売り切れ,うりきれ,N2
売り切れる,うりきれる,N2
売れ行き,うれゆき,N2
売れ行き,うれゆき,N2
うろうろ,うろうろ,N2
運河,うんが,N2
うんと,うんと,N2
英文,えいぶん,N2
英和,えいわ,N2
液体,えきたい,N2
エチケット,エチケット,N2
えっと,えっと,N2
絵の具,えのぐ,N2
エプロン,エプロン,N2
偉い,えらい,N2
宴会,えんかい,N2
園芸,えんげい,N2
演劇,えんげき,N2
円周,えんしゅう,N2
遠足,えんそく,N2
煙突,えんとつ,N2
オーケストラ,オーケストラ,N2
オートメーション,オートメーション,N2
オーバコート,オーバコート,N2
追いかける,おいかける,N2
追い越す,おいこす,N2
追い越す,おいこす,N2
オイル,オイル,N2
応援,おうえん,N2
王女,おうじょ,N2
応ずる,おうずる,N2
応接,おうせつ,N2
応対,おうたい,N2
往復,おうふく,N2
欧米,おうべい,N2
大雑把,おおざっぱ,N2
大通り,おおどおり,N2
大凡,おおよそ,N2
お帰り,おかえり,N2
お帰り,おかえり,N2
お掛け下さい,おかけください,N2
お陰様で,おかげさまで,N2
お菜,おかず,N2
拝む,おがむ,N2
お代わり,おかわり,N2
お代わり,おかわり,N2
補う,おぎなう,N2
お気の毒に,おきのどくに,N2
屋外,おくがい,N2
送り仮名,おくりがな,N2
怠る,おこたる,N2
押さえる,おさえる,N2
お先に,おさきに,N2
治める,おさめる,N2
惜しい,おしい,N2
お辞儀,おじぎ,N2
伯父さん,おじさん,N2
お邪魔します,おじゃまします,N2
お洒落,おしゃれ,N2
教わる,おそわる,N2
お大事に,おだいじに,N2
落ち着く,おちつく,N2
お出掛け,おでかけ,N2
お手伝いさん,おてつだいさん,N2
脅かす,おどかす,N2
落とし物,おとしもの,N2
大人しい,おとなしい,N2
驚かす,おどろかす,N2
驚かす,おどろかす,N2
お願いします,おねがいします,N2
お早う,おはよう,N2
お参り,おまいり,N2
お待たせしました,おまたせしました,N2
お待ち遠様,おまちどおさま,N2
お目出度い,おめでたい,N2
思いがけない,おもいがけない,N2
思い切り,おもいきり,N2
思い込む,おもいこむ,N2
思いつく,おもいつく,N2
重たい,おもたい,N2
お八つ,おやつ,N2
親指,おやゆび,N2
オルガン,オルガン,N2
卸す,おろす,N2
恩恵,おんけい,N2
温室,おんしつ,N2
温泉,おんせん,N2
温帯,おんたい,N2
御中,おんちゅう,N2
女の人,おんなのひと,N2
蚊,か,N2
カーブ,カーブ,N2
貝,かい,N2
貝,かい,N2
開会,かいかい,N2
会館,かいかん,N2
改札,かいさつ,N2
解散,かいさん,N2
海水浴,かいすいよく,N2
回数,かいすう,N2
回数券,かいすうけん,N2
快晴,かいせい,N2
改正,かいせい,N2
解説,かいせつ,N2
改造,かいぞう,N2
回転,かいてん,N2
回答,かいとう,N2
解答,かいとう,N2
解放,かいほう,N2
開放,かいほう,N2
海洋,かいよう,N2
概論,がいろん,N2
帰す,かえす,N2
却って,かえって,N2
返る,かえる,N2
家屋,かおく,N2
関わる,かかわる,N2
書留,かきとめ,N2
垣根,かきね,N2
掻く,かく,N2
嗅ぐ,かぐ,N2
架空,かくう,N2
各自,かくじ,N2
拡充,かくじゅう,N2
学術,がくじゅつ,N2
各地,かくち,N2
拡張,かくちょう,N2
角度,かくど,N2
学年,がくねん,N2
学部,がくぶ,N2
格別,かくべつ,N2
確率,かくりつ,N2
確率,かくりつ,N2
学力,がくりょく,N2
掛け算,かけざん,N2
可決,かけつ,N2
下降,かこう,N2
火口,かこう,N2
重なる,かさなる,N2
重ねる,かさねる,N2
重ねる,かさねる,N2
火山,かざん,N2
畏まりました,かしこまりました,N2
貸し出し,かしだし,N2
貸し出し,かしだし,N2
過失,かしつ,N2
果実,かじつ,N2
貸家,かしや,N2
過剰,かじょう,N2
齧る,かじる,N2
課税,かぜい,N2
カセット,カセット,N2
下線,かせん,N2
加速,かそく,N2
加速度,かそくど,N2
片仮名,かたかな,N2
片付く,かたづく,N2
塊,かたまり,N2
固まる,かたまる,N2
片道,かたみち,N2
傾く,かたむく,N2
偏る,かたよる,N2
偏る,かたよる,N2
偏る,かたよる,N2
学科,がっか,N2
楽器,がっき,N2
学級,がっきゅう,N2
担ぐ,かつぐ,N2
括弧,かっこ,N2
活字,かつじ,N2
活躍,かつやく,N2
活力,かつりょく,N2
仮定,かてい,N2
課程,かてい,N2
過程,かてい,N2
仮名,かな,N2
仮名遣い,かなづかい,N2
鐘,かね,N2
加熱,かねつ,N2
兼ねる,かねる,N2
カバー,カバー,N2
過半数,かはんすう,N2
被せる,かぶせる,N2
釜,かま,N2
紙屑,かみくず,N2
神様,かみさま,N2
剃刀,かみそり,N2
ガム,ガム,N2
痒い,かゆい,N2
歌謡,かよう,N2
殻,から,N2
カラー,カラー,N2
揶揄う,からかう,N2
空っぽ,からっぽ,N2
歌留多,かるた,N2
枯れる,かれる,N2
カロリー,カロリー,N2
可愛がる,かわいがる,N2
乾かす,かわかす,N2
渇く,かわく,N2
為替,かわせ,N2
瓦,かわら,N2
替わる,かわる,N2
間隔,かんかく,N2
換気,かんき,N2
感激,かんげき,N2
関西,かんさい,N2
鑑賞,かんしょう,N2
感ずる,かんずる,N2
間接,かんせつ,N2
感想,かんそう,N2
観測,かんそく,N2
寒帯,かんたい,N2
勘違い,かんちがい,N2
官庁,かんちょう,N2
缶詰,かんづめ,N2
乾電池,かんでんち,N2
関東,かんとう,N2
観念,かんねん,N2
乾杯,かんぱい,N2
看板,かんばん,N2
看病,かんびょう,N2
冠,かんむり,N2
漢和,かんわ,N2
気圧,きあつ,N2
着替え,きがえ,N2
機関車,きかんしゃ,N2
飢饉,ききん,N2
器具,きぐ,N2
期限,きげん,N2
記号,きごう,N2
刻む,きざむ,N2
儀式,ぎしき,N2
基準,きじゅん,N2
基準,きじゅん,N2
起床,きしょう,N2
着せる,きせる,N2
基礎,きそ,N2
気体,きたい,N2
基地,きち,N2
基地,きち,N2
切っ掛け,きっかけ,N2
ぎっしり,ぎっしり,N2
基盤,きばん,N2
客席,きゃくせき,N2
ギャング,ギャング,N2
キャンパス,キャンパス,N2
休業,きゅうぎょう,N2
休業,きゅうぎょう,N2
休講,きゅうこう,N2
休息,きゅうそく,N2
給与,きゅうよ,N2
休養,きゅうよう,N2
清い,きよい,N2
強化,きょうか,N2
行事,ぎょうじ,N2
恐縮,きょうしゅく,N2
教養,きょうよう,N2
行列,ぎょうれつ,N2
漁業,ぎょぎょう,N2
漁業,ぎょぎょう,N2
曲線,きょくせん,N2
規律,きりつ,N2
斬る,きる,N2
気を付ける,きをつける,N2
金魚,きんぎょ,N2
クーラー,クーラー,N2
区域,くいき,N2
偶数,ぐうすう,N2
空想,くうそう,N2
空想,くうそう,N2
空中,くうちゅう,N2
釘,くぎ,N2
区切る,くぎる,N2
区切る,くぎる,N2
櫛,くし,N2
嚏,くしゃみ,N2
苦情,くじょう,N2
苦心,くしん,N2
屑,くず,N2
崩す,くずす,N2
薬指,くすりゆび,N2
崩れる,くずれる,N2
砕く,くだく,N2
砕ける,くだける,N2
草臥れる,くたびれる,N2
下らない,くだらない,N2
下る,くだる,N2
唇,くちびる,N2
口紅,くちべに,N2
くっ付く,くっつく,N2
くっ付ける,くっつける,N2
諄い,くどい,N2
諄い,くどい,N2
句読点,くとうてん,N2
配る,くばる,N2
工夫,くふう,N2
区分,くぶん,N2
汲む,くむ,N2
酌む,くむ,N2
悔しい,くやしい,N2
悔やむ,くやむ,N2
クリーニング,クリーニング,N2
咥える,くわえる,N2
郡,ぐん,N2
稽古,けいこ,N2
敬語,けいご,N2
敬語,けいご,N2
蛍光灯,けいこうとう,N2
形式,けいしき,N2
継続,けいぞく,N2
毛糸,けいと,N2
経度,けいど,N2
系統,けいとう,N2
芸能,げいのう,N2
競馬,けいば,N2
警備,けいび,N2
