Original,Furigana,Level
嗚呼,ああ,N1
相,あい,N1
愛想,あいそ,N1
愛想,あいそ,N1
愛憎,あいぞう,N1
相対,あいたい,N1
間柄,あいだがら,N1
合間,あいま,N1
敢えて,あえて,N1
仰ぐ,あおぐ,N1
亜科,あか,N1
垢,あか,N1
証,あかし,N1
赤字,あかじ,N1
明かす,あかす,N1
明白,あからさま,N1
赤らむ,あからむ,N1
上がり,あがり,N1
空き間,あきま,N1
諦め,あきらめ,N1
悪,あく,N1
アクセル,アクセル,N1
悪どい,あくどい,N1
悪日,あくにち,N1
明くる,あくる,N1
顎,あご,N1
顎,あご,N1
麻,あさ,N1
字,あざ,N1
朝寝坊,あさねぼう,N1
浅ましい,あさましい,N1
欺く,あざむく,N1
鮮やか,あざやか,N1
あざ笑う,あざわらう,N1
葦,あし,N1
味わい,あじわい,N1
味わい,あじわい,N1
東,あずま,N1
焦る,あせる,N1
値する,あたいする,N1
私,あたし,N1
当たり,あたり,N1
悪化,あっか,N1
扱い,あつかい,N1
扱い,あつかい,N1
呆気ない,あっけない,N1
あっさり,あっさり,N1
圧迫,あっぱく,N1
アップ,アップ,N1
誂える,あつらえる,N1
圧力,あつりょく,N1
当て,あて,N1
当て字,あてじ,N1
宛てる,あてる,N1
跡継ぎ,あとつぎ,N1
後回し,あとまわし,N1
彼の,あの,N1
油絵,あぶらえ,N1
アプローチ,アプローチ,N1
あべこべ,あべこべ,N1
甘える,あまえる,N1
雨具,あまぐ,N1
甘口,あまくち,N1
アマチュア,アマチュア,N1
網,あみ,N1
操る,あやつる,N1
あやふや,あやふや,N1
過ち,あやまち,N1
誤る,あやまる,N1
歩み,あゆみ,N1
歩み,あゆみ,N1
歩み,あゆみ,N1
歩む,あゆむ,N1
歩む,あゆむ,N1
あら,あら,N1
予め,あらかじめ,N1
荒らす,あらす,N1
争い,あらそい,N1
改まる,あらたまる,N1
アラブ,アラブ,N1
霰,あられ,N1
有りのまま,ありのまま,N1
有りのまま,ありのまま,N1
アルカリ,アルカリ,N1
アルミ,アルミ,N1
アワー,アワー,N1
合わす,あわす,N1
合わせ,あわせ,N1
アンケート,アンケート,N1
アンコール,アンコール,N1
暗殺,あんさつ,N1
暗殺,あんさつ,N1
暗算,あんざん,N1
暗示,あんじ,N1
案じる,あんじる,N1
安静,あんせい,N1
安静,あんせい,N1
案の定,あんのじょう,N1
伊,い,N1
いい加減,いいかげん,N1
言い訳,いいわけ,N1
言い訳,いいわけ,N1
イエス,イエス,N1
家出,いえで,N1
生かす,いかす,N1
如何に,いかに,N1
如何にも,いかにも,N1
怒り,いかり,N1
粋,いき,N1
異議,いぎ,N1
域外,いきがい,N1
意気込む,いきごむ,N1
意気込む,いきごむ,N1
経緯,いきさつ,N1
行き違い,いきちがい,N1
戦,いくさ,N1
育成,いくせい,N1
幾多,いくた,N1
生ける,いける,N1
生ける,いける,N1
異見,いけん,N1
意向,いこう,N1
意向,いこう,N1
移行,いこう,N1
いざ,いざ,N1
意地,いじ,N1
移住,いじゅう,N1
移住,いじゅう,N1
衣装,いしょう,N1
衣装,いしょう,N1
弄る,いじる,N1
異性,いせい,N1
依然,いぜん,N1
依存,いぞん,N1
委託,いたく,N1
委託,いたく,N1
至って,いたって,N1
至って,いたって,N1
痛む,いたむ,N1
炒める,いためる,N1
痛める,いためる,N1
労る,いたわる,N1
一見,いちげん,N1
著しい,いちじるしい,N1
一同,いちどう,N1
一部,いちぶ,N1
一部分,いちぶぶん,N1
一別,いちべつ,N1
一面,いちめん,N1
一様,いちよう,N1
一連,いちれん,N1
一括,いっかつ,N1
一気,いっき,N1
一挙に,いっきょに,N1
一切,いっさい,N1
一心,いっしん,N1
いっそ,いっそ,N1
一帯,いったい,N1
一敗,いっぱい,N1
一変,いっぺん,N1
意図,いと,N1
営む,いとなむ,N1
営む,いとなむ,N1
挑む,いどむ,N1
稲光,いなびかり,N1
古,いにしえ,N1
祈り,いのり,N1
鼾,いびき,N1
今更,いまさら,N1
移民,いみん,N1
嫌々,いやいや,N1
嫌々,いやいや,N1
卑しい,いやしい,N1
嫌に,いやに,N1
嫌らしい,いやらしい,N1
意欲,いよく,N1
意欲,いよく,N1
意欲,いよく,N1
衣料,いりょう,N1
入る,いる,N1
衣類,いるい,N1
異論,いろん,N1
印,いん,N1
員,いん,N1
印鑑,いんかん,N1
隠居,いんきょ,N1
インターチェンジ,インターチェンジ,N1
インターナショナル,インターナショナル,N1
インターフォン,インターフォン,N1
インテリ,インテリ,N1
インフォメーション,インフォメーション,N1
インフレ,インフレ,N1
卯,う,N1
ウイルス,ウイルス,N1
上下,うえした,N1
受かる,うかる,N1
受け入れる,うけいれる,N1
受け継ぐ,うけつぐ,N1
受け付ける,うけつける,N1
受け止める,うけとめる,N1
動き,うごき,N1
氏,うじ,N1
渦,うず,N1
嘘つき,うそつき,N1
打ち合わせる,うちあわせる,N1
打ち合わせる,うちあわせる,N1
打ち切る,うちきる,N1
打ち消し,うちけし,N1
打ち込む,うちこむ,N1
団扇,うちわ,N1
訴え,うったえ,N1
虚ろ,うつろ,N1
器,うつわ,N1
腕前,うでまえ,N1
雨天,うてん,N1
自惚れ,うぬぼれ,N1
自惚れ,うぬぼれ,N1
埋まる,うまる,N1
生む,うむ,N1
埋め込む,うめこむ,N1
梅干し,うめぼし,N1
末,うら,N1
売り出し,うりだし,N1
売り出し,うりだし,N1
売り出す,うりだす,N1
潤う,うるおう,N1
上手,うわて,N1
上回る,うわまわる,N1
植わる,うわる,N1
運営,うんえい,N1
うんざり,うんざり,N1
運送,うんそう,N1
運賃,うんちん,N1
云々,うんぬん,N1
運搬,うんぱん,N1
運命,うんめい,N1
運命,うんめい,N1
運用,うんよう,N1
運用,うんよう,N1
運用,うんよう,N1
運用,うんよう,N1
会,え,N1
重,え,N1
エアメール,エアメール,N1
海鷂魚,えい,N1
英字,えいじ,N1
映写,えいしゃ,N1
衛生,えいせい,N1
衛生,えいせい,N1
英雄,えいゆう,N1
役,えき,N1
液,えき,N1
閲覧,えつらん,N1
獲物,えもの,N1
襟,えり,N1
エレガント,エレガント,N1
艶,えん,N1
円滑,えんかつ,N1
縁側,えんがわ,N1
沿岸,えんがん,N1
エンジニア,エンジニア,N1
演習,えんしゅう,N1
演出,えんしゅつ,N1
演じる,えんじる,N1
演ずる,えんずる,N1
沿線,えんせん,N1
縁談,えんだん,N1
遠方,えんぽう,N1
円満,えんまん,N1
尾,お,N1
