Original,Furigana,Level
会う,あう,N5
青,あお,N5
青い,あおい,N5
赤,あか,N5
赤い,あかい,N5
明るい,あかるい,N5
秋,あき,N5
開く,あく,N5
開ける,あける,N5
上げる,あげる,N5
朝,あさ,N5
朝ご飯,あさごはん,N5
明後日,あさって,N5
足,あし,N5
明日,あした,N5
彼処,あそこ,N5
遊ぶ,あそぶ,N5
暖かい,あたたかい,N5
頭,あたま,N5
新しい,あたらしい,N5
彼方,あちら,N5
厚い,あつい,N5
暑い,あつい,N5
熱い,あつい,N5
後,あと,N5
貴方,あなた,N5
兄,あに,N5
姉,あね,N5
あのう,あのう,N5
アパート,アパート,N5
浴びる,あびる,N5
危ない,あぶない,N5
甘い,あまい,N5
余り,あまり,N5
雨,あめ,N5
飴,あめ,N5
洗う,あらう,N5
有る,ある,N5
歩く,あるく,N5
彼,あれ,N5
否,いいえ,N5
言う,いう,N5
家,いえ,N5
行く,いく,N5
幾つ,いくつ,N5
幾ら,いくら,N5
池,いけ,N5
医者,いしゃ,N5
椅子,いす,N5
忙しい,いそがしい,N5
痛い,いたい,N5
一,いち,N5
一日,いちにち,N5
一番,いちばん,N5
何時,いつ,N5
五日,いつか,N5
一昨年,いっさくねん,N5
一緒,いっしょ,N5
五つ,いつつ,N5
何時も,いつも,N5
犬,いぬ,N5
今,いま,N5
意味,いみ,N5
妹,いもうと,N5
嫌,いや,N5
入口,いりぐち,N5
居る,いる,N5
要る,いる,N5
入れる,いれる,N5
色,いろ,N5
色々,いろいろ,N5
上,うえ,N5
後ろ,うしろ,N5
薄い,うすい,N5
歌,うた,N5
歌う,うたう,N5
生まれる,うまれる,N5
海,うみ,N5
売る,うる,N5
煩い,うるさい,N5
上着,うわぎ,N5
絵,え,N5
映画,えいが,N5
映画館,えいがかん,N5
英語,えいご,N5
ええ,ええ,N5
駅,えき,N5
エレベーター,エレベーター,N5
鉛筆,えんぴつ,N5
美味しい,おいしい,N5
多い,おおい,N5
大きい,おおきい,N5
大きな,おおきな,N5
大勢,おおぜい,N5
お母さん,おかあさん,N5
お菓子,おかし,N5
お金,おかね,N5
起きる,おきる,N5
置く,おく,N5
奥さん,おくさん,N5
お酒,おさけ,N5
お皿,おさら,N5
教える,おしえる,N5
押す,おす,N5
遅い,おそい,N5
お茶,おちゃ,N5
お手洗い,おてあらい,N5
お父さん,おとうさん,N5
弟,おとうと,N5
男,おとこ,N5
男の子,おとこのこ,N5
一昨日,おととい,N5
大人,おとな,N5
お腹,おなか,N5
同じ,おなじ,N5
お兄さん,おにいさん,N5
お姉さん,おねえさん,N5
お祖母さん,おばあさん,N5
伯母さん,おばさん,N5
お風呂,おふろ,N5
お弁当,おべんとう,N5
覚える,おぼえる,N5
お巡りさん,おまわりさん,N5
重い,おもい,N5
面白い,おもしろい,N5
泳ぐ,およぐ,N5
降りる,おりる,N5
終わる,おわる,N5
音楽,おんがく,N5
女,おんな,N5
女の子,おんなのこ,N5
外国,がいこく,N5
外国人,がいこくじん,N5
会社,かいしゃ,N5
階段,かいだん,N5
買い物,かいもの,N5
買う,かう,N5
返す,かえす,N5
帰る,かえる,N5
掛かる,かかる,N5
鍵,かぎ,N5
書く,かく,N5
学生,がくせい,N5
掛ける,かける,N5
傘,かさ,N5
貸す,かす,N5
風,かぜ,N5
風邪,かぜ,N5
家族,かぞく,N5
方,かた,N5
学校,がっこう,N5
カップ,カップ,N5
