Original,Furigana,Level
可也,かなり,N3
金,かね,N3
可能,かのう,N3
株,かぶ,N3
被る,かぶる,N3
構う,かまう,N3
我慢,がまん,N3
上,かみ,N3
神,かみ,N3
雷,かみなり,N3
髪の毛,かみのけ,N3
科目,かもく,N3
かも知れない,かもしれない,N3
火曜,かよう,N3
空,から,N3
柄,がら,N3
刈る,かる,N3
彼ら,かれら,N3
皮,かわ,N3
革,かわ,N3
可哀想,かわいそう,N3
可愛らしい,かわいらしい,N3
勘,かん,N3
管,かん,N3
缶,かん,N3
考え,かんがえ,N3
感覚,かんかく,N3
観客,かんきゃく,N3
環境,かんきょう,N3
歓迎,かんげい,N3
観光,かんこう,N3
観察,かんさつ,N3
感じ,かんじ,N3
感謝,かんしゃ,N3
患者,かんじゃ,N3
勘定,かんじょう,N3
感情,かんじょう,N3
感じる,かんじる,N3
感心,かんしん,N3
関心,かんしん,N3
関する,かんする,N3
完成,かんせい,N3
完全,かんぜん,N3
感動,かんどう,N3
監督,かんとく,N3
管理,かんり,N3
完了,かんりょう,N3
関連,かんれん,N3
議員,ぎいん,N3
記憶,きおく,N3
気温,きおん,N3
機械,きかい,N3
議会,ぎかい,N3
期間,きかん,N3
機関,きかん,N3
企業,きぎょう,N3
効く,きく,N3
機嫌,きげん,N3
気候,きこう,N3
岸,きし,N3
生地,きじ,N3
記事,きじ,N3
技師,ぎし,N3
記者,きしゃ,N3
傷,きず,N3
傷,きず,N3
期待,きたい,N3
帰宅,きたく,N3
貴重,きちょう,N3
議長,ぎちょう,N3
きちんと,きちんと,N3
きつい,きつい,N3
気づく,きづく,N3
気に入る,きにいる,N3
記入,きにゅう,N3
記念,きねん,N3
機能,きのう,N3
気の毒,きのどく,N3
寄付,きふ,N3
希望,きぼう,N3
基本,きほん,N3
決まり,きまり,N3
気味,きみ,N3
奇妙,きみょう,N3
義務,ぎむ,N3
疑問,ぎもん,N3
逆,ぎゃく,N3
キャプテン,キャプテン,N3
キャンプ,キャンプ,N3
九,きゅう,N3
旧,きゅう,N3
球,きゅう,N3
級,きゅう,N3
休暇,きゅうか,N3
休憩,きゅうけい,N3
急激,きゅうげき,N3
吸収,きゅうしゅう,N3
救助,きゅうじょ,N3
急速,きゅうそく,N3
急速,きゅうそく,N3
急に,きゅうに,N3
器用,きよう,N3
教科書,きょうかしょ,N3
競技,きょうぎ,N3
行儀,ぎょうぎ,N3
供給,きょうきゅう,N3
教師,きょうし,N3
教授,きょうじゅ,N3
強調,きょうちょう,N3
共通,きょうつう,N3
共通,きょうつう,N3
共同,きょうどう,N3
恐怖,きょうふ,N3
協力,きょうりょく,N3
強力,きょうりょく,N3
許可,きょか,N3
